structure_number,latitude,longitude,year_built,hwb_class,material,gmpe_model,sa1s_used,replacement_cost_usd,repair_cost_usd,p_none,p_none,p_slight,p_slight,p_moderate,p_moderate,p_extensive,p_extensive,p_complete,p_complete,predicted_ds,obs
52 0036,34.4,-118.8266667,1936.0,HWB6,concrete,ASK14,0.186352342758306,2680177.5,7.079079521413013e-05,1.0,0.9999999991195758,0.0,8.80424202362151e-10,0.0,5.058047922370296e-18,0.0,1.2213015743824258e-21,0.0,5.771232819154327e-31,none,none
52 0037,34.41,-118.7866667,1940.0,HWB1,concrete,ASK14,0.199088573889499,14604208.36875,2.2589484702467807e-07,1.0,0.9999999999994845,0.0,5.153673005105371e-13,0.0,8.465340072939377e-17,0.0,1.6303581997909904e-23,0.0,2.526793514591336e-29,none,none
52 0046,34.14333333,-118.8483333,1968.0,HWB5,concrete,ASK14,0.122453348253284,0.0,0.0,1.0,0.9999999999997128,0.0,2.8725842787896217e-13,0.0,3.0897654879610926e-19,0.0,1.7380023764112354e-24,0.0,2.303224812684745e-35,none,none
52 0055,34.28666667,-118.8583333,1916.0,HWB5,concrete,ASK14,0.127933452033377,509233.725,2.1375232002426454e-08,1.0,0.9999999999986008,0.0,1.3991704805005302e-12,0.0,2.1632879141404195e-18,0.0,1.5974518319908865e-23,0.0,3.4206046697914878e-34,none,none
52 0154,34.29333333,-118.8433333,1999.0,HWB5,concrete,ASK14,0.138538413916992,0.0,0.0,1.0,0.9999999999779061,0.0,2.2093787681261833e-11,0.0,6.604662678459515e-17,0.0,7.998401496187864e-22,0.0,4.0980718142151594e-32,none,none
52 0237,34.17833333,-118.875,1962.0,HWB7,concrete,ASK14,0.125309026498281,8096027.939999999,5.733785956607759e-21,1.0,1.0,0.0,2.3607403527951225e-26,0.0,2.0580321324660534e-38,0.0,6.132447744719634e-48,0.0,9.836963747408311e-63,none,none
52 0268,34.15666667,-118.8216667,1964.0,HWB7,concrete,ASK14,0.172243441474344,1351350.0,6.2191316121929476e-15,1.0,1.0,0.0,1.5340539982495552e-19,0.0,5.4513853250854125e-30,0.0,2.0146979500988041e-38,0.0,1.0145805240950659e-51,none,none
52 0273,34.16666667,-118.8366667,1966.0,HWB5,concrete,ASK14,0.174422284927328,10004267.02275,0.00810185479167166,1.0,0.9999999730062356,0.0,2.699322490184397e-08,0.0,5.395595682561811e-13,0.0,2.724288271090209e-17,0.0,1.7349849424875897e-26,none,none
52 0274,34.17166667,-118.845,1966.0,HWB4,concrete,ASK14,0.170514102516279,9172288.125,8.427325258509446e-25,1.0,1.0,0.0,3.062591356645296e-30,0.0,4.6550642792841126e-36,0.0,3.2760095846432085e-41,0.0,4.7179319900975326e-52,none,none
52 0282,34.27833333,-118.6616667,1968.0,HWB5,concrete,ASK14,0.218697972141793,9694044.36,2.4112898721974783,0.0,0.9999917104509956,1.0,8.288493007500954e-06,0.0,1.0557815261407608e-09,0.0,2.1538734985183528e-13,0.0,1.6199578697926715e-21,none,none
52 0283,34.26833333,-118.635,1968.0,HWB5,concrete,ASK14,0.202375591361676,3653185.536000001,0.1465255017892545,1.0,0.9999986631851707,0.0,1.336724405538306e-06,0.0,9.041228014548365e-11,0.0,1.1436160315148605e-14,0.0,3.6919601001475214e-23,none,none
52 0299,34.28166667,-118.7083333,1968.0,HWB8,concrete,ASK14,0.254628323918984,9232423.2,0.023701417580209633,0.0,0.9999999145010429,1.0,8.545457837288153e-08,0.0,4.434386848234419e-11,0.0,3.4883098001290844e-14,0.0,3.9203355908229794e-21,none,none
52 0300,34.28166667,-118.6766667,1968.0,HWB8,prestressed_concrete,ASK14,0.260491522310087,12608101.506,0.059533831705618455,1.0,0.9999998427611276,0.0,1.571450516788941e-07,0.0,9.373814749691454e-11,0.0,8.249209943641447e-14,0.0,1.1441957506339616e-20,none,moderate
52 0301,34.28166667,-118.6816667,1968.0,HWB5,concrete,ASK14,0.27965807063979,5544341.302500001,174.04209126367928,0.0,0.9989552570696718,1.0,0.0010437729031105415,0.0,9.691341061412508e-07,0.0,8.931113736105762e-10,0.0,9.734632756337317e-17,none,none
52 0302,34.28166667,-118.69,1968.0,HWB5,concrete,ASK14,0.273744905897565,11640664.035,253.90502239260712,0.0,0.9992738861603827,1.0,0.0007255456658116545,0.0,5.677146501703178e-07,0.0,4.591553866752862e-10,0.0,3.968983133798874e-17,none,none
