structure_number,structure_number,latitude,longitude,hwb_class,year_built,design_era,sa1s_shakemap,pga_shakemap,replacement_cost_usd,repair_cost_usd,expected_dr,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,obs,attr_source
52 0036,52 0036,34.4,-118.8266667,HWB6,1936,conventional,0.3974,0.3357,2680177.5,1011.3846881539919,0.0003773573534417,0.9874228239276632,0.0125763544797108,8.157594710337549e-07,5.833149675059047e-09,5.304973161439917e-15,none,none,nbi_1994
52 0037,52 0037,34.41,-118.7866667,HWB1,1940,conventional,0.3533,0.3416,14604208.36875,4.397728266772142,3.011274665309744e-07,0.9999900241245168,9.938854206636804e-06,3.7020463659978415e-08,8.127800858782585e-13,4.405050640105496e-17,none,none,nbi_1994
52 0046,52 0046,34.14333333,-118.8483333,HWB5,1968,conventional,0.2087,0.2515,0.0,0.0,8.144513331792425e-08,0.9999972855517584,2.7142146404785075e-06,2.335655462484859e-10,3.5439475886511086e-14,1.5793044732687622e-22,none,none,nbi_1994
52 0055,52 0055,34.28666667,-118.8583333,HWB5,1916,conventional,0.2624,0.3357,509233.725,5.10125551856868,1.00175131145697e-05,0.9996663899660462,0.0003334261789857,1.8374115899947865e-07,1.1380908459249195e-10,6.129691894728219e-18,none,none,nbi_1994
52 0154,52 0154,34.29333333,-118.8433333,HWB5,1999,seismic,0.2932,0.3475,0.0,0.0,6.617815186162336e-05,0.9977989956712092,0.0021980561021899,2.94463443979086e-06,3.592160387890602e-09,6.448438277883535e-16,none,none,nbi_1994
52 0237,52 0237,34.17833333,-118.875,HWB7,1962,conventional,0.2929,0.2878,8096027.939999999,3.20857016102606e-05,3.963141166019815e-12,0.9999999998678952,1.3210469968613832e-10,2.192944163405045e-18,5.3093216858881045e-25,8.236793800898071e-36,none,none,nbi_1994
52 0268,52 0268,34.15666667,-118.8216667,HWB7,1964,conventional,0.2942,0.288,1351350.0,6.178943624650313e-06,4.572422854664087e-12,0.999999999847586,1.524140880543595e-10,2.6629141897463175e-18,6.676008486739428e-25,1.0864442669529881e-35,none,none,default
52 0273,52 0273,34.16666667,-118.8366667,HWB5,1966,conventional,0.2929,0.2882,10004267.02275,651.4822111166304,6.512043407429456e-05,0.9978341346512106,0.0021629877234296,2.8741409941123377e-06,3.4843650296493594e-09,6.1859477744573395e-16,none,none,nbi_1994
52 0274,52 0274,34.17166667,-118.845,HWB4,1966,conventional,0.2415,0.2702,9172288.125,7.977334492503131e-17,8.697213153128168e-24,1.0,2.8989909065118376e-22,3.0051020108343667e-27,1.0172714800641614e-31,2.9560975025879406e-41,none,none,nbi_1994
52 0282,52 0282,34.27833333,-118.6616667,HWB5,1968,conventional,0.5431,0.7918,9694044.360000001,213741.84625164745,0.0220487794685156,0.4074257922843185,0.5187766952896783,0.070377852004679,0.0034192132958309,4.471254932145025e-07,slight,none,nbi_2024
52 0283,52 0283,34.26833333,-118.635,HWB5,1968,conventional,0.5065,0.7548,3653185.536000001,57106.56640125803,0.0156319918160483,0.5456391015694257,0.4181852719830913,0.0350442721920803,0.0011312831656178,7.108978471992175e-08,none,none,nbi_1994
52 0299,52 0299,34.28166667,-118.7083333,HWB8,1968,conventional,0.8052,0.7306,9232423.200000001,365572.5036566198,0.0395965929786039,0.3012607336548776,0.4677861491151521,0.1899356574972277,0.0408657384364951,0.0001517212962474,slight,none,nbi_2024
52 0300,52 0300,34.28166667,-118.6766667,HWB8,1968,conventional,0.6643,0.7964,12608101.506,160363.5955534888,0.0127190914093747,0.6703728770413303,0.2848196674608128,0.0413479783147253,0.0034570854170122,2.3917661192282734e-06,none,moderate,nbi_1994
52 0301,52 0301,34.28166667,-118.6816667,HWB5,1968,conventional,0.6643,0.7964,5544341.302500001,282297.7022065743,0.0509163644163254,0.1072460753896222,0.563126801651708,0.2848196674608128,0.0447606247039302,4.683079392666112e-05,slight,none,nbi_1994
52 0302,52 0302,34.28166667,-118.69,HWB5,1968,conventional,0.6643,0.7964,11640664.035,592700.292054073,0.0509163644163254,0.1072460753896222,0.563126801651708,0.2848196674608128,0.0447606247039302,4.683079392666112e-05,slight,none,nbi_2024
52 0303,52 0303,34.28166667,-118.6983333,HWB3,1968,conventional,0.8052,0.7306,9107858.76,41.98520039186407,4.6097772811602175e-06,0.9998482787037526,0.000150587516171,1.125254600051474e-06,8.525397786348062e-09,7.85793819422672e-14,none,none,nbi_2024
52 0304,52 0304,34.23666667,-118.84,HWB3,1970,conventional,0.3163,0.3659,1351350.0,2.41379806750892e-12,1.786212356168957e-18,1.0,5.953311274308363e-17,2.7361938268802088e-21,3.134811883560339e-25,9.391205306496412e-34,none,none,default
52 0305,52 0305,34.2,-118.855,HWB3,1970,conventional,0.3192,0.3184,1351350.0,3.537933386496023e-12,2.618073324080381e-18,1.0,8.72578604516925e-17,4.2173082174041714e-21,5.0348884788740815e-25,1.632088134889341e-33,none,none,default
52 0306,52 0306,34.18166667,-118.86,HWB3,1970,conventional,0.2929,0.2878,1351350.0,8.890753352970092e-14,6.579164060361928e-20,1.0,2.192878717030213e-18,6.597196492487604e-23,5.34207557466726e-27,8.236793800898071e-36,none,none,default
52 0307,52 0307,34.17833333,-118.86,HWB5,1970,conventional,0.2929,0.2878,1351350.0,88.00049858629795,6.512043407429456e-05,0.9978341346512106,0.0021629877234296,2.8741409941123377e-06,3.4843650296493594e-09,6.1859477744573395e-16,none,none,default
52 0308,52 0308,34.21166667,-118.8466667,HWB3,1970,conventional,0.3243,0.3353,1351350.0,6.8394378389103895e-12,5.06118906198275e-18,0.9999999999999998,1.6868256794471052e-16,8.896730166981824e-21,1.1409122873278915e-24,4.241067492667654e-33,none,none,default
52 0309,52 0309,34.28166667,-118.7166667,HWB5,1969,conventional,0.7572,0.6773,13424941.53,1128047.936526215,0.0840262830199615,0.0289977215896226,0.386477879037664,0.4360520501085205,0.1478994221653903,0.0005729270988024,moderate,none,nbi_2024
52 0310,52 0310,34.19,-118.86,HWB3,1970,conventional,0.2929,0.2878,1351350.0,8.890753352970092e-14,6.579164060361928e-20,1.0,2.192878717030213e-18,6.597196492487604e-23,5.34207557466726e-27,8.236793800898071e-36,none,none,default
