bridge_id,latitude,longitude,observed_damage
SYNTH-0001,34.309582419422384,-118.60004589876245,moderate
SYNTH-0002,34.175551375900824,-118.6963188651245,none
SYNTH-0003,34.343439167964554,-118.30653781124893,none
SYNTH-0004,34.278947211623745,-118.36757457170398,extensive
SYNTH-0005,34.037670939155056,-118.34741731068684,none
SYNTH-0006,34.3902489406547,-118.30963548448902,none
SYNTH-0007,34.30445588079614,-118.47054211223083,none
SYNTH-0008,34.314425722110784,-118.41562940202355,none
SYNTH-0009,34.051245453070216,-118.63010150093618,none
SYNTH-0010,34.180154375158224,-118.64273496323202,moderate
SYNTH-0011,34.148319209693035,-118.36579851910477,none
SYNTH-0012,34.37070599553944,-118.46445189692844,none
SYNTH-0013,34.25754604803227,-118.4173819467594,none
SYNTH-0014,34.329104645308334,-118.31750057129199,none
SYNTH-0015,34.17736567953093,-118.38264083999971,none
SYNTH-0016,34.09089548871391,-118.423210299671,slight
SYNTH-0017,34.22183391480633,-118.4203964196273,none
SYNTH-0018,34.02552690244167,-118.5480249509687,none
SYNTH-0019,34.33105246879703,-118.68459108271604,none
SYNTH-0020,34.25266575964883,-118.48164130538382,none
SYNTH-0021,34.30323509603415,-118.59270766359023,none
SYNTH-0022,34.141810387251944,-118.49573567813769,none
SYNTH-0023,34.38827920975796,-118.27329846336592,none
SYNTH-0024,34.35724844852888,-118.58303025706734,none
SYNTH-0025,34.3113533988295,-118.67084862915547,none
SYNTH-0026,34.07785548314079,-118.559308053989,none
SYNTH-0027,34.18668840149081,-118.55320312111667,none
SYNTH-0028,34.01752150631489,-118.36904174263655,none
SYNTH-0029,34.061715796827016,-118.42148392382937,none
SYNTH-0030,34.27321958129698,-118.3080508954468,none
SYNTH-0031,34.297904862363126,-118.36784322983631,none
SYNTH-0032,34.38700389297368,-118.49680656927997,moderate
SYNTH-0033,34.13033014325526,-118.29298980766698,none
SYNTH-0034,34.148183882413946,-118.61651354004616,none
SYNTH-0035,34.18782232451032,-118.68864396343307,none
SYNTH-0036,34.07578854363371,-118.65497606961218,none
SYNTH-0037,34.05196860213419,-118.33882032470177,extensive
SYNTH-0038,34.190281970490375,-118.46906138487431,none
SYNTH-0039,34.09076373962035,-118.6193641104832,none
SYNTH-0040,34.267925597873,-118.44947761244832,none
SYNTH-0041,34.17486076754893,-118.62384394864341,none
SYNTH-0042,34.333071278423134,-118.35183981246114,none
SYNTH-0043,34.2801060408009,-118.47692186221299,moderate
SYNTH-0044,34.124946656552815,-118.50948938695176,none
SYNTH-0045,34.33290392055808,-118.54924395542606,none
SYNTH-0046,34.32190574299872,-118.38485870344056,none
SYNTH-0047,34.15499135161207,-118.51909369472331,none
SYNTH-0048,34.1153312415721,-118.65617504034195,none
SYNTH-0049,34.27299820158999,-118.64099704893974,none
SYNTH-0050,34.05590099344372,-118.21905116772524,none
