bridge_id,predicted_damage,sa_predicted
SYNTH-0001,slight,0.291358
SYNTH-0002,none,0.180882
SYNTH-0003,none,0.144387
SYNTH-0004,extensive,0.177131
SYNTH-0005,none,0.245503
SYNTH-0006,none,0.519738
SYNTH-0007,none,0.135361
SYNTH-0008,slight,0.305565
SYNTH-0009,none,0.224366
SYNTH-0010,none,0.246455
SYNTH-0011,none,0.547541
SYNTH-0012,none,0.414325
SYNTH-0013,none,0.669293
SYNTH-0014,none,0.273439
SYNTH-0015,none,0.197594
SYNTH-0016,slight,0.262294
SYNTH-0017,moderate,0.346985
SYNTH-0018,none,0.333528
SYNTH-0019,none,0.156515
SYNTH-0020,none,0.316738
SYNTH-0021,none,0.344027
SYNTH-0022,none,1.358677
SYNTH-0023,none,0.925088
SYNTH-0024,none,0.179798
SYNTH-0025,none,0.252485
SYNTH-0026,slight,0.124676
SYNTH-0027,none,0.210473
SYNTH-0028,none,0.362544
SYNTH-0029,slight,0.618498
SYNTH-0030,none,0.193704
SYNTH-0031,none,0.202612
SYNTH-0032,moderate,0.082716
SYNTH-0033,none,0.272104
SYNTH-0034,none,0.158592
SYNTH-0035,none,0.218354
SYNTH-0036,none,0.177269
SYNTH-0037,complete,0.283504
SYNTH-0038,none,0.104496
SYNTH-0039,none,0.124407
SYNTH-0040,none,1.07635
SYNTH-0041,none,0.138564
SYNTH-0042,none,0.155355
SYNTH-0043,slight,0.903188
SYNTH-0044,none,1.714407
SYNTH-0045,none,0.148538
SYNTH-0046,none,0.240527
SYNTH-0047,none,0.368233
SYNTH-0048,none,0.846408
SYNTH-0049,none,0.165947
SYNTH-0050,none,0.258945
