structure_number,latitude,longitude,year_built,hwb_class,material,design_era,gmpe_model,sa1s_used,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0036,34.4,-118.8266667,1936,HWB6,other,conventional,ASK14,0.186352342758306,none,2680177.5,339.0037349382263,CD,0.9999999991195758,8.80424202362151e-10,5.058047922370296e-18,1.2213015743824258e-21,5.771232819154327e-31,none,7.079079521413013e-05
52 0037,34.41,-118.7866667,1940,HWB1,other,conventional,ASK14,0.199088573889499,none,14604208.36875,346.8204027678698,CD,0.9999999999994845,5.153673005105371e-13,8.465340072939377e-17,1.6303581997909904e-23,2.526793514591336e-29,none,2.2589484702467807e-07
52 0046,34.14333333,-118.8483333,1968,HWB5,other,conventional,ASK14,0.122453348253284,none,0.0,482.1669007657508,C,0.9999999999997128,2.8725842787896217e-13,3.0897654879610926e-19,1.7380023764112354e-24,2.303224812684745e-35,none,0.0
52 0055,34.28666667,-118.8583333,1916,HWB5,other,conventional,ASK14,0.127933452033377,none,509233.725,482.42779700472,C,0.9999999999986008,1.3991704805005302e-12,2.1632879141404195e-18,1.5974518319908865e-23,3.4206046697914878e-34,none,2.1375232002426454e-08
52 0154,34.29333333,-118.8433333,1999,HWB5,other,seismic,ASK14,0.138538413916992,none,0.0,459.770277474418,C,0.9999999999779061,2.2093787681261833e-11,6.604662678459515e-17,7.998401496187864e-22,4.0980718142151594e-32,none,0.0
52 0237,34.17833333,-118.875,1962,HWB7,other,conventional,ASK14,0.125309026498281,none,8096027.939999999,456.7693237305306,C,1.0,2.3607403527951225e-26,2.0580321324660534e-38,6.132447744719634e-48,9.836963747408311e-63,none,5.733785956607759e-21
52 0268,34.15666667,-118.8216667,1964,HWB7,other,conventional,ASK14,0.172243441474344,none,1351350.0,357.3892762496135,CD,1.0,1.5340539982495552e-19,5.4513853250854125e-30,2.0146979500988041e-38,1.0145805240950659e-51,none,6.2191316121929476e-15
52 0273,34.16666667,-118.8366667,1966,HWB5,other,conventional,ASK14,0.174422284927328,none,10004267.02275,343.8124188041973,CD,0.9999999730062356,2.699322490184397e-08,5.395595682561811e-13,2.724288271090209e-17,1.7349849424875897e-26,none,0.00810185479167166
52 0274,34.17166667,-118.845,1966,HWB4,other,conventional,ASK14,0.170514102516279,none,9172288.125,355.4934985351565,CD,1.0,3.062591356645296e-30,4.6550642792841126e-36,3.2760095846432085e-41,4.7179319900975326e-52,none,8.427325258509446e-25
52 0282,34.27833333,-118.6616667,1968,HWB5,other,conventional,ASK14,0.218697972141793,none,9694044.360000001,491.5207818520748,C,0.9999917104509956,8.288493007500954e-06,1.0557815261407608e-09,2.1538734985183528e-13,1.6199578697926715e-21,none,2.4112898721974787
52 0283,34.26833333,-118.635,1968,HWB5,other,conventional,ASK14,0.202375591361676,none,3653185.536000001,565.8470336914064,BC,0.9999986631851707,1.336724405538306e-06,9.041228014548365e-11,1.1436160315148605e-14,3.6919601001475214e-23,none,0.1465255017892545
52 0299,34.28166667,-118.7083333,1968,HWB8,other,conventional,ASK14,0.254628323918984,none,9232423.200000001,365.6052440857032,C,0.9999999145010429,8.545457837288153e-08,4.434386848234419e-11,3.4883098001290844e-14,3.9203355908229794e-21,none,0.023701417580209636
52 0300,34.28166667,-118.6766667,1968,HWB8,other,conventional,ASK14,0.260491522310087,moderate,12608101.506,388.9142552274433,C,0.9999998427611276,1.571450516788941e-07,9.373814749691454e-11,8.249209943641447e-14,1.1441957506339616e-20,none,0.059533831705618455
52 0301,34.28166667,-118.6816667,1968,HWB5,other,conventional,ASK14,0.27965807063979,none,5544341.302500001,361.7930980009178,C,0.9989552570696718,0.0010437729031105415,9.691341061412508e-07,8.931113736105762e-10,9.734632756337317e-17,none,174.04209126367928
52 0302,34.28166667,-118.69,1968,HWB5,other,conventional,ASK14,0.273744905897565,none,11640664.035,359.0019311523229,CD,0.9992738861603827,0.0007255456658116545,5.677146501703178e-07,4.591553866752862e-10,3.968983133798874e-17,none,253.90502239260712
52 0303,34.28166667,-118.6983333,1968,HWB3,other,conventional,ASK14,0.261977776856859,none,9107858.76,366.0508673418365,C,1.0,1.49237394528272e-20,2.441305412033172e-25,1.2003443662563916e-29,7.122127230246937e-39,none,4.0778772410721744e-15
52 0304,34.23666667,-118.84,1970,HWB3,other,conventional,ASK14,0.148817229776447,none,1351350.0,424.0465649413592,C,1.0,1.0031657496144177e-33,7.171183800715041e-40,2.723186333419801e-45,1.2054678134009067e-56,none,4.066891859939713e-29
52 0305,34.2,-118.855,1970,HWB3,other,conventional,ASK14,0.160770349184248,none,1351350.0,372.1439270019457,C,1.0,1.0092825067745189e-31,1.1072222494140278e-37,5.968073810022522e-43,5.1613959489670505e-54,none,4.091693716749156e-27
52 0306,34.18166667,-118.86,1970,HWB3,other,conventional,ASK14,0.153188180522019,none,1351350.0,379.8938330078321,C,1.0,5.7450262866270166e-33,4.821843853760163e-39,2.0878577406394217e-44,1.1878696808276692e-55,none,2.3290675945995145e-28
