structure_number,latitude,longitude,year_built,hwb_class,material,design_era,sa1s_shakemap,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0036,34.4,-118.8266667,1936,HWB6,other,conventional,0.3974,none,2680177.5,339.0037349382263,CD,0.9871904946191885,0.012808654973796723,8.443343882355756e-07,6.0726209903670045e-09,5.592658281410807e-15,none,1030.0691722039032
52 0037,34.41,-118.7866667,1940,HWB1,other,conventional,0.3533,none,14604208.36875,346.8204027678698,CD,0.9999897088264412,1.0252710933623425e-05,3.846177174850905e-08,8.53347003109649e-13,4.6605517283010835e-17,none,4.536921219178656
52 0046,34.14333333,-118.8483333,1968,HWB5,other,conventional,0.2087,none,0.0,482.1669007657508,C,0.999997194730313,2.8050256934895132e-06,2.4395622134393494e-10,3.7305260590052043e-14,1.6846714911754797e-22,none,0.0
52 0055,34.28666667,-118.8583333,1916,HWB5,other,conventional,0.2624,none,509233.725,482.42779700472,C,0.9996577299610901,0.00034207938328364973,1.9053667093620469e-07,1.1895523171638976e-10,6.494250542938162e-18,none,5.233728117759511
52 0154,34.29333333,-118.8433333,1999,HWB5,other,seismic,0.2932,none,0.0,459.770277474418,C,0.9977497816935806,0.002247171773948978,3.04279090878007e-06,3.7415609395918316e-09,6.809067825501052e-16,none,0.0
52 0237,34.17833333,-118.875,1962,HWB7,other,conventional,0.2929,none,8096027.939999999,456.7693237305306,C,0.9999999998619417,1.3805830389083893e-10,2.3250138916688196e-18,5.682309940204191e-25,8.925220597698476e-36,none,3.3531718075348614e-05
52 0268,34.15666667,-118.8216667,1964,HWB7,other,conventional,0.2942,none,1351350.0,357.3892762496135,CD,0.9999999998407391,1.5926096371469645e-10,2.8229124557665394e-18,7.144088017230226e-25,1.177103937998356e-35,none,6.4565194046553126e-06
52 0273,34.16666667,-118.8366667,1966,HWB5,other,conventional,0.2929,none,10004267.02275,343.8124188041973,CD,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,666.0866354071906
52 0274,34.17166667,-118.845,1966,HWB4,other,conventional,0.2415,none,9172288.125,355.4934985351565,CD,1.0,3.091271216008672e-22,3.225317947560091e-27,1.097510071056568e-31,3.2201837629845085e-41,none,8.506445773255969e-17
52 0282,34.27833333,-118.6616667,1968,HWB5,other,conventional,0.5431,none,9694044.360000001,491.5207818520748,C,0.404614923110338,0.5205844693337335,0.0713076362621704,0.003492508132698436,4.631610596691675e-07,slight,215166.44139139424
52 0283,34.26833333,-118.635,1968,HWB5,other,conventional,0.5065,none,3653185.536000001,565.8470336914064,BC,0.5427744884584758,0.420481446922418,0.035585910446354084,0.0011580803705873463,7.380216480984283e-08,none,57540.997095680665
52 0299,34.28166667,-118.7083333,1968,HWB8,other,conventional,0.8052,none,9232423.200000001,365.6052440857032,C,0.29873416957759913,0.46812045426175297,0.19149799632772152,0.04149151250177052,0.00015586733115585563,slight,368301.6616139826
52 0300,34.28166667,-118.6766667,1968,HWB8,other,conventional,0.6643,moderate,12608101.506,388.9142552274433,C,0.6677612031891003,0.28675462564734494,0.041950614996454014,0.003531083958484653,2.4722086160892478e-06,none,161937.58789432747
52 0301,34.28166667,-118.6816667,1968,HWB5,other,conventional,0.6643,none,5544341.302500001,361.7930980009178,C,0.10590174538544783,0.5618594578036524,0.28675462564734494,0.045435970505814056,4.8200657740699585e-05,slight,283888.83198695007
52 0302,34.28166667,-118.69,1968,HWB5,other,conventional,0.6643,none,11640664.035,359.0019311523229,CD,0.10590174538544783,0.5618594578036524,0.28675462564734494,0.045435970505814056,4.8200657740699585e-05,slight,596040.9607104354
52 0303,34.28166667,-118.6983333,1968,HWB3,other,conventional,0.8052,none,9107858.76,366.0508673418365,C,0.9998441326688442,0.0001546942719973995,1.1641873116866225e-06,8.87176410657898e-09,8.266293684428473e-14,none,43.13646914489323
52 0304,34.23666667,-118.84,1970,HWB3,other,conventional,0.3163,none,1351350.0,424.0465649413592,C,0.9999999999999999,6.297250398293618e-17,2.9136558379351793e-21,3.356027797457247e-25,1.0154334729968298e-33,none,2.553251900604757e-12
52 0305,34.2,-118.855,1970,HWB3,other,conventional,0.3192,none,1351350.0,372.1439270019457,C,0.9999999999999999,9.227351388128604e-17,4.489617635198458e-21,5.388757999203149e-25,1.764260507298613e-33,none,3.741299935140038e-12
52 0306,34.18166667,-118.86,1970,HWB3,other,conventional,0.2929,none,1351350.0,379.8938330078321,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,9.426200785172438e-14
52 0307,34.17833333,-118.86,1970,HWB5,other,conventional,0.2929,none,1351350.0,408.2320605469025,C,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,89.97322569565726
52 0308,34.21166667,-118.8466667,1970,HWB3,other,conventional,0.3243,none,1351350.0,365.7673824543508,C,0.9999999999999998,1.7829299287939593e-16,9.466737160704788e-21,1.2205362410044534e-24,4.582486338480206e-33,none,7.229110920191039e-12
52 0309,34.28166667,-118.7166667,1969,HWB5,other,conventional,0.7572,none,13424941.53,353.0422622110853,CD,0.028514435796411886,0.38413756626380857,0.43721050046279614,0.1495502600624974,0.0005872374144860063,moderate,1134082.2656357833
52 0310,34.19,-118.86,1970,HWB3,other,conventional,0.2929,none,1351350.0,346.6830688476543,CD,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,9.426200785172438e-14
52 0311,34.22666667,-118.845,1970,HWB5,other,conventional,0.3233,none,13078425.36,374.949180908202,C,0.9906672313775869,0.009305409904773024,2.7297918738115316e-05,6.079887007581315e-08,3.1850232624573024e-14,none,3679.7631587169594
52 0312,34.24333333,-118.8366667,1970,HWB5,other,conventional,0.2897,none,1351350.0,473.3905131043576,C,0.99813905070449,0.001858659500201715,2.2871813700578116e-06,2.613937811910486e-09,4.1765552670052244e-16,none,75.59913115826177
52 0313,34.22,-118.8483333,1970,HWB3,other,conventional,0.3243,none,1351350.0,353.9030910755851,CD,0.9999999999999998,1.7829299287939593e-16,9.466737160704788e-21,1.2205362410044534e-24,4.582486338480206e-33,none,7.229110920191039e-12
52 0314,34.175,-118.8566667,1970,HWB3,other,conventional,0.2415,none,10522166.655,412.3538234761065,C,1.0,3.091271216008672e-22,3.225317947560091e-27,1.097510071056568e-31,3.2201837629845085e-41,none,9.75833280072846e-17
52 0315,34.17666667,-118.86,1970,HWB3,other,conventional,0.2929,none,1351350.0,422.4011743164076,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,9.426200785172438e-14
52 0316,34.17666667,-118.86,1970,HWB3,other,conventional,0.2929,none,12531663.144,422.4011743164076,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,8.741330740924949e-13
52 0317,34.17666667,-118.86,1970,HWB1,other,conventional,0.2929,none,1726725.0,422.4011743164076,C,0.9999998981393243,1.0172261737542371e-07,1.3805765300578465e-10,6.531989028110567e-16,1.116591653105141e-20,none,0.005288480884691267
52 0318,34.205,-118.8483333,1970,HWB5,other,conventional,0.3192,none,9532464.942000002,376.8582133634278,C,0.9921530706775321,0.007826121291739813,2.0765226871298605e-05,4.280383719871696e-08,1.953466298237052e-14,none,2254.004315839136
52 0319,34.26666667,-118.85,1970,HWB5,other,conventional,0.3001,none,1351350.0,455.3731384277344,C,0.9967797498575875,0.003215005421081136,5.2373012924510635e-06,7.420037128391663e-09,1.7372020700091549e-15,none,130.90662821060502
52 0320,34.28166667,-118.75,1970,HWB3,other,conventional,0.6362,none,1351350.0,291.0679199218748,CD,0.9999991375263438,8.60644596146164e-07,1.8241991517390545e-09,4.860893333807644e-12,6.043669890894672e-18,none,0.035089814972178536
52 0321,34.28166667,-118.7266667,1969,HWB5,other,conventional,0.7005,none,1351350.0,311.065552044768,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0322,34.28166667,-118.73,1969,HWB5,other,conventional,0.7005,none,1351350.0,305.7232080077987,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0323,34.28166667,-118.735,1969,HWB5,other,conventional,0.7005,none,1351350.0,299.4747094726561,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0324,34.28166667,-118.6716667,1968,HWB5,other,conventional,0.5431,none,4791987.2,430.7306829802829,C,0.404614923110338,0.5205844693337335,0.0713076362621704,0.003492508132698436,4.631610596691675e-07,slight,106361.67885424358
52 0325,34.18333333,-118.89,1968,HWB5,other,conventional,0.2727,none,14297643.36,378.7160888672302,C,0.999320419582106,0.0006790647083502598,5.153024059146529e-07,4.071377599823078e-10,3.376263122984754e-17,none,291.86161463052366
52 0326,34.28166667,-118.76,1970,HWB5,other,conventional,0.534,none,1351350.0,293.2244250488287,CD,0.4376493897798923,0.49877462171189235,0.06087475111405052,0.00270093731396299,3.0008020179834953e-07,slight,27714.50356813542
52 0327,34.28166667,-118.7433333,1969,HWB5,other,conventional,0.6362,none,1351350.0,294.8938472545418,CD,0.15091493058642302,0.5911885440146147,0.22959840163546066,0.02827881339748253,1.9310366019091714e-05,slight,58368.241856922774
52 0329,34.28166667,-118.7783333,1970,HWB5,other,conventional,0.3832,none,13350231.895,295.3236598880622,CD,0.9334853218370701,0.06578996611375625,0.0007202390301712423,4.473004383531303e-06,1.4618901204867266e-11,none,27133.49687190701
52 0330,34.28166667,-118.8633333,1993,HWB6,other,seismic,0.3043,none,1554052.5,463.5155605986308,C,0.9998191683177454,0.00018083121646751208,4.647714726652127e-10,1.0156288012760876e-12,6.543695988625134e-20,none,8.430694297808092
52 0331,34.28666667,-118.865,1993,HWB2,other,seismic,0.3043,none,1985733.75,453.1927502441928,C,0.9999999999989844,1.0156288012760876e-12,6.543293454008013e-20,4.025346171118644e-24,9.549702163600147e-35,none,6.050306204156834e-08
52 0332,34.29333333,-118.8416667,1993,HWB6,other,seismic,0.2932,none,11038823.420625,457.2256429357518,C,0.999912418353582,8.75815037179471e-05,1.4243642900166682e-10,2.6356281130935247e-13,1.1713521387125387e-20,none,29.00402914745993
52 0334,34.29166667,-118.8583333,1993,HWB4,other,seismic,0.2932,none,1554052.5,476.3990215481011,C,1.0,2.4317091087467093e-18,7.40605529382332e-23,6.056899749906167e-27,9.515301423306339e-36,none,1.1337931846379853e-13
52 0339,34.14666667,-118.8416667,1968,HWB5,other,conventional,0.2087,none,4535427.897,420.7503704393077,C,0.999997194730313,2.8050256934895132e-06,2.4395622134393494e-10,3.7305260590052043e-14,1.6846714911754797e-22,none,0.3817483114286083
52 0341,34.27833333,-118.8716667,1970,HWB3,other,conventional,0.3043,none,5632126.500000003,461.6380680807222,C,1.0,1.2192393327900243e-17,4.557993339608923e-22,4.408822073451808e-26,9.549702163600147e-35,none,2.0602784784529137e-12
52 0343,34.28166667,-118.7,1968,HWB5,other,conventional,0.8052,none,0.0,367.4225708007449,C,0.013538504322896938,0.2851956652547022,0.46812045426175297,0.23149204537100251,0.001653330789645388,moderate,0.0
52 0346,34.28166667,-118.77,1970,HWB3,other,conventional,0.534,none,1351350.0,294.6650695800786,CD,0.9999999923792446,7.614515199540248e-09,6.232543383825396e-12,7.581551241760688e-15,2.096267256500249e-21,none,0.0003093726025822504
